Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
1/31/2020,Eagle River,AK,Anchorage,Anchorage Borough,Anchorage,357,1622,0.0024,0.0137,0.0116,9953
1/31/2020,Northeast,AK,Anchorage,Anchorage Borough,Anchorage,376,1557,0.0028,0.0147,0.0216,9081
1/31/2020,Abbott Loop,AK,Anchorage,Anchorage Borough,Anchorage,429,1640,0.0113,0.0185,0.0269,9519
1/31/2020,Sand Lake,AK,Anchorage,Anchorage Borough,Anchorage,541,1641,0.0087,0.0041,0.0168,9157
1/31/2020,Taku-Campbell,AK,Anchorage,Anchorage Borough,Anchorage,1059,1598,0.0089,0.0002,0.0072,4818
1/31/2020,Spenard,AK,Anchorage,Anchorage Borough,Anchorage,1108,1447,0.0017,-0.0129,-0.0077,3523
1/31/2020,Russian Jack Park,AK,Anchorage,Anchorage Borough,Anchorage,1134,1446,0.0011,0.0085,0.0064,3418
1/31/2020,Huffman-O'Malley,AK,Anchorage,Anchorage Borough,Anchorage,1288,1707,-0.0072,-0.0043,-0.039,4395
1/31/2020,University Area,AK,Anchorage,Anchorage Borough,Anchorage,1297,1632,0.0189,0.0196,0.0315,3022
1/31/2020,Turnagain,AK,Anchorage,Anchorage Borough,Anchorage,1423,1694,0.0077,0.0039,0.0144,4203
1/31/2020,Scenic Foothills,AK,Anchorage,Anchorage Borough,Anchorage,1427,1667,0.0015,0.0034,0.0086,3752
1/31/2020,Bayshore-Klatt,AK,Anchorage,Anchorage Borough,Anchorage,1497,1626,0.0071,0.0081,0.0145,4717
1/31/2020,Campbell Park,AK,Anchorage,Anchorage Borough,Anchorage,1717,1571,0.0025,0.0018,0.0185,1988
1/31/2020,Airport Heights,AK,Anchorage,Anchorage Borough,Anchorage,1998,1560,-0.0074,-0.0127,-0.0011,2023
1/31/2020,Fairview,AK,Anchorage,Anchorage Borough,Anchorage,2017,1486,0.0067,0.0039,0.0177,1773
1/31/2020,Rabbit Creek,AK,Anchorage,Anchorage Borough,Anchorage,2087,1766,-0.0203,-0.0168,-0.0306,2868
1/31/2020,Mountain View,AK,Anchorage,Anchorage Borough,Anchorage,2112,1420,0.0097,0.0144,0.0234,1182
1/31/2020,Chugiak,AK,Anchorage,Anchorage Borough,Anchorage,2231,1624,-0.0043,-0.0138,-0.0176,2792
1/31/2020,Old Seward-Oceanview,AK,Anchorage,Anchorage Borough,Anchorage,2269,1672,0.013,0.0124,0.0039,3176
1/31/2020,South Addition,AK,Anchorage,Anchorage Borough,Anchorage,3582,1824,-0.0094,-0.0103,0.004,2303
1/31/2020,Rogers Park,AK,Anchorage,Anchorage Borough,Anchorage,3676,1702,-0.009,-0.0068,0.0115,1389
1/31/2020,Bjerremark,AK,Fairbanks,Fairbanks North Star Borough,Fairbanks,3913,1403,-0.0007,-0.0054,-0.0252,1171
1/31/2020,Girdwood,AK,Anchorage,Anchorage Borough,Anchorage,4788,1703,0.0088,0.0093,0.0108,1680
1/31/2020,Greater Alberta,AL,Tuscaloosa,Tuscaloosa County,Tuscaloosa,897,1196,0.0155,0.0538,0.037,4402
1/31/2020,University,AL,Tuscaloosa,Tuscaloosa County,Tuscaloosa,1018,1458,-0.0026,0.0299,0.0276,2657
1/31/2020,Five Points South,AL,Birmingham-Hoover,Jefferson County,Birmingham,1796,1123,-0.0224,0.023,0.137,2047
1/31/2020,South East Lake,AL,Birmingham-Hoover,Jefferson County,Birmingham,2092,750,0.0094,0.048,0.0268,3075
1/31/2020,Spring Lake,AL,Birmingham-Hoover,Jefferson County,Birmingham,2214,886,0.0098,0.0011,-0.0245,2168
1/31/2020,Yorkwood,AL,Mobile,Mobile County,Mobile,2700,1108,-0.002,0.0158,0.0037,1816
1/31/2020,Echo Highlands,AL,Birmingham-Hoover,Jefferson County,Birmingham,2750,877,0.0182,0.017,-0.0163,1466
1/31/2020,Malibar Heights,AL,Mobile,Mobile County,Mobile,2792,936,0.0078,0.0191,-0.0061,1371
1/31/2020,Belview Heights,AL,Birmingham-Hoover,Jefferson County,Birmingham,2827,777,0.0284,0.0502,-0.0427,2461
1/31/2020,Huffman,AL,Birmingham-Hoover,Jefferson County,Birmingham,2884,891,0.0099,0.0114,-0.0339,1717
1/31/2020,Oxmoor,AL,Birmingham-Hoover,Jefferson County,Birmingham,2939,868,0.0017,0.0092,-0.0833,1307
1/31/2020,Dauphin Acres,AL,Mobile,Mobile County,Mobile,3092,858,0.0113,-0.0059,-0.0189,1422
1/31/2020,Roebuck,AL,Birmingham-Hoover,Jefferson County,Birmingham,3103,790,0.0098,0.0311,-0.0078,2003
1/31/2020,Ensley Highlands,AL,Birmingham-Hoover,Jefferson County,Birmingham,3136,746,0.0135,0.0219,-0.0163,1902
1/31/2020,Highland Park,AL,Birmingham-Hoover,Jefferson County,Birmingham,3211,1478,0.0074,0.0239,0.0613,2048
1/31/2020,Forest Park,AL,Birmingham-Hoover,Jefferson County,Birmingham,3322,1076,-0.0257,-0.01,-0.0192,1817
1/31/2020,Berkleigh,AL,Mobile,Mobile County,Mobile,3325,1148,0.0207,0.027,0.0444,2041
1/31/2020,Arlington-West End,AL,Birmingham-Hoover,Jefferson County,Birmingham,3331,720,0.0256,0.0147,-0.043,1662
1/31/2020,Gorgas,AL,Mobile,Mobile County,Mobile,3441,796,0.0113,0.011,0.0317,1520
1/31/2020,Reichlieu,AL,Mobile,Mobile County,Mobile,3521,1094,0.0204,0.0699,0.1667,1078
1/31/2020,Central Park,AL,Birmingham-Hoover,Jefferson County,Birmingham,3559,739,0.0299,0.0433,-0.0125,1512
1/31/2020,Sheldon,AL,Mobile,Mobile County,Mobile,3670,995,0.0232,0.0122,-0.0079,1413
1/31/2020,Killough Springs,AL,Birmingham-Hoover,Jefferson County,Birmingham,3697,932,0.008,0.0184,0.0321,1798
1/31/2020,Carlen,AL,Mobile,Mobile County,Mobile,3746,875,-0.0023,-0.0253,-0.0096,1722
1/31/2020,Redmont Park,AL,Birmingham-Hoover,Jefferson County,Birmingham,3760,1785,-0.0101,-0.0341,0.0133,1133
1/31/2020,College Park,AL,Mobile,Mobile County,Mobile,3784,1297,0.0055,0.0041,-0.0189,1517
1/31/2020,Carver,AL,Mobile,Mobile County,Mobile,3812,808,-0.008,0.0044,0.0401,1323
1/31/2020,Maryvale,AL,Mobile,Mobile County,Mobile,3822,786,0.0114,0.0259,0.022,1056
1/31/2020,Rickarby,AL,Mobile,Mobile County,Mobile,4084,784,0.0096,0.0186,0.0165,1408
1/31/2020,East Lake,AL,Birmingham-Hoover,Jefferson County,Birmingham,4098,743,0.0212,0.036,0.0107,1382
1/31/2020,Park Place,AL,Mobile,Mobile County,Mobile,4125,845,-0.0123,-0.027,-0.0167,1384
1/31/2020,Inglenook,AL,Birmingham-Hoover,Jefferson County,Birmingham,4128,745,0.0136,0.042,0.0065,1475
1/31/2020,Crestline,AL,Birmingham-Hoover,Jefferson County,Birmingham,4139,1354,-0.0144,-0.051,-0.0266,1377
1/31/2020,Baltimore,AL,Mobile,Mobile County,Mobile,4140,822,0.0076,0.0313,-0.0297,1074
1/31/2020,Green Acres,AL,Birmingham-Hoover,Jefferson County,Birmingham,4149,797,0.0107,0.0466,0.013,1118
1/31/2020,Fairview,AL,Birmingham-Hoover,Jefferson County,Birmingham,4165,753,0.01,0.055,-0.0029,1050
1/31/2020,Cody,AL,Mobile,Mobile County,Mobile,4173,906,0.0297,-0.0213,-0.0719,1075
1/31/2020,Roebuck Springs,AL,Birmingham-Hoover,Jefferson County,Birmingham,4267,909,0.0287,0.0424,-0.0247,1316
1/31/2020,Colonial Heights,AL,Mobile,Mobile County,Mobile,4271,992,0.0164,0.0016,0.0084,1337
